"city_key","city_name","incident_code","incident_date","incident_latitude","incident_longitude","incident_address","incident_source_original_type","incident_offense_code","incident_offense","incident_offense_description","incident_offense_detail_description","incident_offense_crime_against","incident_offense_action"
"SFO","San Francisco","103857528150","06-02-2021 08:00:00","37.7734744","-122.4180303","MISSION ST \ LAFAYETTE ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at MISSION ST \ LAFAYETTE ST","Property","C"
"SFO","San Francisco","103619604033","06-02-2021 08:07:00","37.783004","-122.4124118","TURK ST \ JONES ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at TURK ST \ JONES ST","Person","C"
"SFO","San Francisco","103712306374","06-02-2021 08:20:00","37.7898299","-122.4188427","LARKIN ST \ PINE ST","Larceny Theft - Other","23H","Larceny/Theft Offenses","All Other Larceny","All Other Larceny at LARKIN ST \ PINE ST","Property","C"
"SFO","San Francisco","103619216710","06-02-2021 08:30:00","37.7817987","-122.3983412","HARRISON ST \ LAPU-LAPU ST","Drug Violation","35A","Drug/Narcotic Offenses","Drug/Narcotic Violations","Drug/Narcotic Violations at HARRISON ST \ LAPU-LAPU ST","Society","C"
"SFO","San Francisco","103619226030","06-02-2021 08:30:00","37.7817987","-122.3983412","HARRISON ST \ LAPU-LAPU ST","Arson","200","Arson","Arson","Arson at HARRISON ST \ LAPU-LAPU ST","Property","C"
"SFO","San Francisco","104490571000","06-02-2021 09:00:00","37.7517584","-122.4902704","32ND AVE \ ORTEGA ST","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 32ND AVE \ ORTEGA ST","Person, Property, or Society","C"
"SFO","San Francisco","103715506244","06-02-2021 09:00:00","37.7674307","-122.4018426","DE HARO ST \ 15TH ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at DE HARO ST \ 15TH ST","Property","C"
"SFO","San Francisco","103719806234","06-02-2021 09:10:00","37.7682736","-122.4199816","14TH ST \ MISSION ST","Larceny - Auto Parts","23G","Larceny/Theft Offenses","Theft of Motor Vehicle Parts or Accessories","Theft of Motor Vehicle Parts or Accessories at 14TH ST \ MISSION ST","Property","C"
"SFO","San Francisco","103719806224","06-02-2021 09:10:00","37.7682736","-122.4199816","14TH ST \ MISSION ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at 14TH ST \ MISSION ST","Property","C"
"SFO","San Francisco","103620707041","06-02-2021 09:16:00","37.7629259","-122.4597904","03RD AVE \ PARNASSUS AVE","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 03RD AVE \ PARNASSUS AVE","Person, Property, or Society","C"
"SFO","San Francisco","103639572000","06-02-2021 09:30:00","37.7965747","-122.432016","BUCHANAN ST \ GREEN ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at BUCHANAN ST \ GREEN ST","Person, Property, or Society","C"
"SFO","San Francisco","103639415200","06-02-2021 09:30:00","37.7246931","-122.3945322","03RD ST \ DONNER AVE","Other","90Z","All Other Offenses","All Other Offenses","All Other Offenses at 03RD ST \ DONNER AVE","Person, Property, or Society","C"
"SFO","San Francisco","103639406304","06-02-2021 09:30:00","37.7246931","-122.3945322","03RD ST \ DONNER AVE","Larceny Theft - From Building","23D","Larceny/Theft Offenses","Theft From Building","Theft From Building at 03RD ST \ DONNER AVE","Property","C"
"SFO","San Francisco","103619707041","06-02-2021 09:39:00","37.7743088","-122.4583711","FULTON ST \ ARGUELLO BLVD","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at FULTON ST \ ARGUELLO BLVD","Person, Property, or Society","C"
"SFO","San Francisco","103621151040","06-02-2021 09:40:00","37.7871124","-122.44025","PINE ST \ DIVISADERO ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at PINE ST \ DIVISADERO ST","Person, Property, or Society","C"
"SFO","San Francisco","103627706244","06-02-2021 10:00:00","37.8074825","-122.4139751","MASON ST \ BEACH ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at MASON ST \ BEACH ST","Property","C"
"SFO","San Francisco","103798428160","06-02-2021 10:00:00","37.7783268","-122.3965307","04TH ST \ BRANNAN ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at 04TH ST \ BRANNAN ST","Property","C"
"SFO","San Francisco","103666971013","06-02-2021 10:00:00","37.7084446","-122.4588248","SAN JOSE AVE \ GOETHE ST","Theft From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at SAN JOSE AVE \ GOETHE ST","Property","C"
"SFO","San Francisco","103743971000","06-02-2021 10:00:00","37.7948595","-122.4048757","MERCHANT ST \ KEARNY ST","Lost Property","90Z","All Other Offenses","All Other Offenses","All Other Offenses at MERCHANT ST \ KEARNY ST","Person, Property, or Society","C"
"SFO","San Francisco","103798704012","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at AUSTIN ST \ FRANKLIN ST","Person","C"
"SFO","San Francisco","103633504012","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at AUSTIN ST \ FRANKLIN ST","Person","C"
"SFO","San Francisco","103921204062","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at AUSTIN ST \ FRANKLIN ST","Person","C"
"SFO","San Francisco","103798704062","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at AUSTIN ST \ FRANKLIN ST","Person","C"
"SFO","San Francisco","103921275025","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Non-Criminal","90Z","All Other Offenses","All Other Offenses","All Other Offenses at AUSTIN ST \ FRANKLIN ST","Person, Property, or Society","C"
"SFO","San Francisco","103620804012","06-02-2021 10:03:00","37.7887457","-122.4236885","AUSTIN ST \ FRANKLIN ST","Aggravated Assault","13A","Assault Offenses","Aggravated Assault","Aggravated Assault at AUSTIN ST \ FRANKLIN ST","Person","C"
"SFO","San Francisco","103620475030","06-02-2021 10:20:00","37.7707308","-122.448768","PAGE ST \ CLAYTON ST","Case Closure","90Z","All Other Offenses","All Other Offenses","All Other Offenses at PAGE ST \ CLAYTON ST","Person, Property, or Society","C"
"SFO","San Francisco","103621719057","06-02-2021 10:24:00","37.7683193","-122.419225","MINNA ST \ 14TH ST","Intimidation","13C","Assault Offenses","Intimidation","Intimidation at MINNA ST \ 14TH ST","Person","C"
"SFO","San Francisco","103621703024","06-02-2021 10:24:00","37.7683193","-122.419225","MINNA ST \ 14TH ST","Robbery - Commercial","120","Robbery","Robbery","Robbery at MINNA ST \ 14TH ST","Property","C"
"SFO","San Francisco","103624628150","06-02-2021 10:29:00","37.7505598","-122.382694","MARYLAND ST \ CESAR CHAVEZ ST","Vandalism","290","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property","Destruction/Damage/Vandalism of Property at MARYLAND ST \ CESAR CHAVEZ ST","Property","C"
"SFO","San Francisco","103688707041","06-02-2021 10:33:00","37.7992123","-122.4409776","LOMBARD ST \ SCOTT ST","Recovered Vehicle","90Z","All Other Offenses","All Other Offenses","All Other Offenses at LOMBARD ST \ SCOTT ST","Person, Property, or Society","C"
"SFO","San Francisco","103688705013","06-02-2021 10:33:00","37.7992123","-122.4409776","LOMBARD ST \ SCOTT ST","Burglary - Residential","220","Burglary/Breaking & Entering","Burglary/Breaking & Entering","Burglary/Breaking & Entering at LOMBARD ST \ SCOTT ST","Property","C"
"SFO","San Francisco","103688711012","06-02-2021 10:33:00","37.7992123","-122.4409776","LOMBARD ST \ SCOTT ST","Stolen Property","280","Stolen Property Offenses","Stolen Property Offenses","Stolen Property Offenses at LOMBARD ST \ SCOTT ST","Property","C"
"SFO","San Francisco","103622506244","06-02-2021 10:49:00","37.8047242","-122.4482792","MARINA BLVD \ LYON ST","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at MARINA BLVD \ LYON ST","Property","C"
"SFO","San Francisco","103776106244","06-02-2021 11:00:00","37.7865796","-122.4931149","EL CAMINO DEL MAR \ 32ND AVE","Larceny - From Vehicle","23F","Larceny/Theft Offenses","Theft From Motor Vehicle","Theft From Motor Vehicle at EL CAMINO DEL MAR \ 32ND AVE","Property","C"
